emp_no,first_name,last_name,gender,dept_no,dept_name,salary,to_date
52008,Sachio,Noriega,F,d001,Marketing,50581,9999-01-01
51916,Jingling,Yetim,M,d005,Development,65637,9999-01-01
52015,Zeljko,Raoux,M,d005,Development,40741,9999-01-01
51943,Gal,Arlazarov,M,d004,Production,58283,9999-01-01
52058,Jessie,Rassart,F,d009,Customer Service,40000,9999-01-01
51949,Pranav,Rosti,M,d005,Development,50734,9999-01-01
52063,Ferdinand,Lunt,M,d004,Production,40000,9999-01-01
52066,Xiong,Bojadziev,M,d002,Finance,54319,9999-01-01
51969,Barna,Bharadwaj,M,d005,Development,42237,9999-01-01
52069,Conrado,Krohm,F,d005,Development,57834,9999-01-01
52071,Xianlong,Milicic,M,d001,Marketing,84726,9999-01-01
51994,Shigehito,Pluym,M,d007,Sales,86798,9999-01-01
52095,Hein,Dayang,M,d002,Finance,54221,9999-01-01
52098,Martine,Delaune,M,d005,Development,65970,9999-01-01
52108,Anestis,Reinhart,M,d004,Production,55719,9999-01-01
51995,Zhongwei,Roccetti,M,d007,Sales,93409,9999-01-01
52113,Feixiong,Hiroyama,M,d007,Sales,81095,9999-01-01
52117,Neven,Lipner,F,d006,Quality Management,58904,9999-01-01
52196,Francesca,Choobineh,F,d005,Development,48536,9999-01-01
52130,Kwangho,Besselaar,F,d005,Development,49600,9999-01-01
52131,Tonny,Collette,M,d005,Development,56874,9999-01-01
52144,Gad,Hoogerwoord,M,d005,Development,49259,9999-01-01
52207,Alenka,Sifakis,M,d006,Quality Management,46277,9999-01-01
52149,Greger,Broomell,M,d004,Production,40000,9999-01-01
52167,Bernd,Copas,M,d005,Development,40000,9999-01-01
52217,Spyrose,Henseler,F,d008,Research,40000,9999-01-01
52173,Masato,Papadias,F,d004,Production,40000,9999-01-01
52175,Oldrich,Cronan,M,d006,Quality Management,53314,9999-01-01
52228,Heng,Meszaros,M,d001,Marketing,54416,9999-01-01
52230,Leah,Stavenow,M,d001,Marketing,59257,9999-01-01
52248,Masaki,Peek,F,d004,Production,40000,9999-01-01
52369,Manohar,Sewelson,F,d001,Marketing,64693,9999-01-01
52373,Mircea,McClurg,M,d003,Human Resources,40000,9999-01-01
52391,Horward,Varker,F,d005,Development,40000,9999-01-01
52396,Ulf,Paludetto,M,d009,Customer Service,57947,9999-01-01
52397,Huai,Swen,F,d003,Human Resources,48283,9999-01-01
52252,Moty,Bade,F,d001,Marketing,64287,9999-01-01
52255,Masamitsu,Michaels,M,d004,Production,40000,9999-01-01
52411,Elvis,Alpin,M,d005,Development,40978,9999-01-01
52412,Gen,Thombley,F,d003,Human Resources,60566,9999-01-01
52271,Nikolaus,Schaft,M,d007,Sales,71369,9999-01-01
52413,Qiwen,Brobst,M,d008,Research,75404,9999-01-01
52417,Eran,Rahimi,F,d005,Development,56389,9999-01-01
52420,Badri,Pramanik,F,d007,Sales,58185,9999-01-01
52291,Kshitij,Erva,M,d002,Finance,71789,9999-01-01
52454,Marco,Peyn,M,d005,Development,40000,9999-01-01
52299,Shin,Baranowski,M,d005,Development,63020,9999-01-01
52465,Gift,Ramsay,M,d004,Production,51258,9999-01-01
52307,Michaela,Suri,M,d005,Development,62282,9999-01-01
52475,Augustine,Khamsi,F,d004,Production,48960,9999-01-01
52483,Kazuhira,Boyle,M,d005,Development,40000,9999-01-01
52310,Yongmin,Flexer,M,d007,Sales,90318,9999-01-01
52315,Hilari,Ozery,M,d002,Finance,40000,9999-01-01
52342,Niranjan,Karcich,F,d007,Sales,73705,9999-01-01
52511,Zhanqiu,Luca,M,d007,Sales,90236,9999-01-01
52531,Khosrow,Basart,F,d003,Human Resources,43156,9999-01-01
52539,Shigeu,Huttel,M,d007,Sales,67249,9999-01-01
52548,Mario,Ritzmann,M,d005,Development,54307,9999-01-01
52557,Aruna,Kalsbeek,M,d005,Development,58610,9999-01-01
52564,Shuky,Chenoweth,F,d005,Development,40000,9999-01-01
52579,Hironoby,Auria,M,d004,Production,44967,9999-01-01
52584,Szabolcs,Osgood,M,d006,Quality Management,70989,9999-01-01
52593,Shridhar,Lichtman,M,d007,Sales,68633,9999-01-01
52348,Junsik,Radwan,F,d007,Sales,65055,9999-01-01
52598,Lobel,Marciano,M,d003,Human Resources,40000,9999-01-01
52610,Akhilish,Tsukuda,M,d005,Development,43766,9999-01-01
52355,Arto,Merkl,F,d005,Development,40000,9999-01-01
52356,Kazuhira,Swist,F,d007,Sales,50250,9999-01-01
52746,Ingmar,Neimat,M,d005,Development,80170,9999-01-01
52633,Diederik,Hasham,M,d004,Production,64715,9999-01-01
52644,Geoffrey,Picci,M,d007,Sales,53574,9999-01-01
52667,Pranav,McConalogue,M,d005,Development,63870,9999-01-01
52752,Barna,Rajcani,M,d001,Marketing,61326,9999-01-01
52671,Gay,Sommer,M,d001,Marketing,65602,9999-01-01
52676,Baruch,Melton,F,d005,Development,50832,9999-01-01
52761,Toshimori,Delgrossi,M,d004,Production,40000,9999-01-01
52682,Valdiodio,Crooks,F,d001,Marketing,59648,9999-01-01
52773,Shounak,Rissland,F,d001,Marketing,89204,9999-01-01
52695,Sahrah,Borstler,F,d004,Production,40000,9999-01-01
52698,Magdalena,Mersereau,F,d005,Development,42017,9999-01-01
52700,Shin,Ranze,M,d005,Development,41573,9999-01-01
52703,Gian,Sidje,F,d008,Research,41787,9999-01-01
52812,Jaber,Fujisawa,F,d007,Sales,83882,9999-01-01
52712,Boaz,Giveon,F,d006,Quality Management,42070,9999-01-01
52727,Steve,Facello,M,d001,Marketing,49070,9999-01-01
52733,Supot,Atrawala,M,d008,Research,62659,9999-01-01
52815,Djenana,Makrucki,F,d006,Quality Management,49163,9999-01-01
52830,Kitty,Peron,F,d007,Sales,51210,9999-01-01
52932,Carrsten,Lorin,F,d005,Development,62236,9999-01-01
52933,Gurbir,Uludag,M,d002,Finance,57801,9999-01-01
52842,Ohad,Murtafg,M,d003,Human Resources,40000,9999-01-01
52951,Hauke,Solares,M,d007,Sales,67342,9999-01-01
52961,Arun,Niizuma,M,d005,Development,42981,9999-01-01
52962,Hein,Cappelli,M,d007,Sales,63817,9999-01-01
52964,Dmitri,Grandbois,M,d004,Production,43515,9999-01-01
52851,Gita,Billawala,F,d008,Research,47754,9999-01-01
52965,Itzchak,Steinauer,F,d004,Production,47232,9999-01-01
52976,Alejandra,Binding,M,d004,Production,40000,9999-01-01
52856,Kazuhide,Speel,M,d001,Marketing,46133,9999-01-01
52981,Howell,Hutton,M,d004,Production,42119,9999-01-01
52986,Ugo,Beznosov,F,d001,Marketing,70532,9999-01-01
52857,Van,Rabehasaina,F,d008,Research,40000,9999-01-01
52867,Yishay,Lindenbaum,M,d007,Sales,77395,9999-01-01
53012,Yongdong,Muchinsky,F,d007,Sales,74553,9999-01-01
52897,Arnd,Isaac,F,d005,Development,40000,9999-01-01
52916,Paris,Schusler,F,d002,Finance,63229,9999-01-01
53057,Moss,Reeken,F,d001,Marketing,56784,9999-01-01
53059,Sachin,Impagliazzo,F,d007,Sales,54775,9999-01-01
53064,Mingsen,Heusch,M,d004,Production,54821,9999-01-01
53130,Anestis,Poupard,M,d005,Development,71330,9999-01-01
53079,Nirmal,Maierhofer,M,d004,Production,58193,9999-01-01
53080,Yunming,Lamma,M,d005,Development,40000,9999-01-01
53083,Jinya,Schaap,M,d001,Marketing,54213,9999-01-01
53090,Kazuhisa,Furedi,M,d007,Sales,61937,9999-01-01
53092,Tetsushi,England,M,d001,Marketing,81343,9999-01-01
53134,Shahid,Fasbender,M,d007,Sales,77478,9999-01-01
53103,Nechama,Molenkamp,F,d007,Sales,60801,9999-01-01
53138,Parke,Schaaf,M,d005,Development,40000,9999-01-01
53145,Tsutomu,Reistad,F,d002,Finance,69251,9999-01-01
53298,Shay,Oskamp,M,d005,Development,50854,9999-01-01
53146,Guenter,Rosay,M,d004,Production,61045,9999-01-01
53150,Kiyotoshi,Kakkad,F,d004,Production,40000,9999-01-01
53154,Chaosheng,Akazan,M,d005,Development,40000,9999-01-01
53318,Mohua,Hooghiemstra,F,d001,Marketing,54405,9999-01-01
53157,Weiye,Birge,M,d009,Customer Service,49549,9999-01-01
53324,Vincent,Speckmann,M,d006,Quality Management,40000,9999-01-01
53159,Jaewon,Cherinka,M,d005,Development,60440,9999-01-01
53328,Terresa,Swan,M,d004,Production,40000,9999-01-01
53160,Susumu,Rossi,F,d009,Customer Service,40000,9999-01-01
53162,Marke,Bamford,F,d006,Quality Management,47988,9999-01-01
53165,Woody,Feldmann,M,d001,Marketing,40000,9999-01-01
53353,Srinidhi,Sudkamp,M,d004,Production,51855,9999-01-01
53177,Vugranam,Sichman,M,d004,Production,40000,9999-01-01
53358,Pasqua,Peac,M,d005,Development,44851,9999-01-01
53367,Samphel,Parveen,F,d001,Marketing,69828,9999-01-01
53178,Franziska,Melichar,M,d005,Development,41040,9999-01-01
53380,Tianruo,Pollacia,M,d006,Quality Management,53738,9999-01-01
53186,Martien,Penn,F,d005,Development,54299,9999-01-01
53391,Fayez,Stroustrup,M,d002,Finance,71880,9999-01-01
53194,Lorien,Unno,M,d005,Development,40000,9999-01-01
53398,Brigham,Munch,M,d003,Human Resources,40000,9999-01-01
53201,Kien,Lagarias,M,d005,Development,40000,9999-01-01
53412,Dipayan,Rassart,M,d007,Sales,62301,9999-01-01
53415,Mariangiola,Nitta,F,d004,Production,80816,9999-01-01
53204,Nirmal,Bernatsky,F,d007,Sales,55342,9999-01-01
53418,Hiroyasu,Alencar,M,d007,Sales,90427,9999-01-01
53217,Shem,Heystek,M,d005,Development,43200,9999-01-01
53424,Saeed,Garrabrants,F,d006,Quality Management,54009,9999-01-01
53430,Marke,Schneeberger,M,d005,Development,68380,9999-01-01
53436,Filipe,Mitsuhashi,M,d005,Development,40000,9999-01-01
53243,Maren,Schach,F,d007,Sales,76633,9999-01-01
53442,Nathalie,Riefers,M,d005,Development,60078,9999-01-01
53455,Sariel,Deville,M,d005,Development,40000,9999-01-01
53457,Rildo,Kisuki,M,d005,Development,45627,9999-01-01
53459,Salvador,Berstel,F,d007,Sales,83238,9999-01-01
53247,Rayond,Undy,F,d009,Customer Service,40000,9999-01-01
53464,Odoardo,Andreotta,M,d007,Sales,95242,9999-01-01
53467,Roddy,Serna,M,d002,Finance,91781,9999-01-01
53259,Francoise,Zirintsis,M,d008,Research,45141,9999-01-01
53468,Yifei,Muhlberg,M,d004,Production,71793,9999-01-01
53475,Malu,Selenyi,F,d001,Marketing,46409,9999-01-01
53273,Moon,Fraisse,M,d004,Production,53161,9999-01-01
53489,Marko,Cherinka,M,d005,Development,57086,9999-01-01
53509,Radoslaw,Osgood,M,d005,Development,40000,9999-01-01
53530,Gully,Pintelas,M,d005,Development,54088,9999-01-01
53532,Shimshon,Asmuth,M,d008,Research,40000,9999-01-01
53539,Sangeeta,Mansanne,M,d005,Development,40000,9999-01-01
53540,Khaled,Zockler,M,d006,Quality Management,40000,9999-01-01
53546,Dietrich,Rodier,M,d004,Production,40000,9999-01-01
53560,Bernice,Senzako,M,d006,Quality Management,40000,9999-01-01
53589,Kitty,Spell,F,d009,Customer Service,42166,9999-01-01
53275,Lokesh,Rullman,F,d006,Quality Management,40761,9999-01-01
53601,Avishai,Felder,M,d005,Development,40000,9999-01-01
53277,Roded,Coney,M,d003,Human Resources,43428,9999-01-01
53607,Moheb,Lorch,F,d002,Finance,54497,9999-01-01
53661,Kaijung,Wixon,F,d007,Sales,62691,9999-01-01
53612,Hironobu,Benzaken,F,d004,Production,40000,9999-01-01
53622,Masako,Murthy,M,d009,Customer Service,42862,9999-01-01
53633,Masadi,Heinisuo,M,d007,Sales,83824,9999-01-01
53663,Mamdouh,Segond,M,d007,Sales,103397,9999-01-01
53674,Mong,Babu,F,d008,Research,81073,9999-01-01
53640,Toshimi,Coorg,M,d008,Research,46441,9999-01-01
53641,Vesna,Remmele,M,d008,Research,40000,9999-01-01
53642,Navin,Erdi,F,d001,Marketing,61562,9999-01-01
53679,Aleksandar,Litzkow,F,d007,Sales,53006,9999-01-01
53651,Nathalie,Melichar,F,d008,Research,66640,9999-01-01
53659,Feipei,Sommer,M,d001,Marketing,54148,9999-01-01
53684,Gou,Greenaway,M,d002,Finance,76914,9999-01-01
53709,Kazuhisa,Zaumen,M,d005,Development,56203,9999-01-01
53856,Tzu,Reinhart,F,d004,Production,40000,9999-01-01
53860,Nahid,Masamoto,M,d007,Sales,89507,9999-01-01
53712,Hidde,Bauknecht,M,d005,Development,40000,9999-01-01
53862,Manohar,Siprelle,M,d001,Marketing,59696,9999-01-01
53747,Yechezkel,Shimshoni,F,d006,Quality Management,43831,9999-01-01
53868,Jixiang,Angelov,F,d007,Sales,50182,9999-01-01
53871,Xudong,Hebert,F,d007,Sales,64694,9999-01-01
53751,Teruyuki,Jayawardene,M,d007,Sales,84481,9999-01-01
53760,Mong,Mateescu,F,d005,Development,63874,9999-01-01
53775,Maya,Peternell,F,d005,Development,46723,9999-01-01
53942,Xiaoheng,Carrere,M,d003,Human Resources,40000,9999-01-01
53943,Yannis,Hagimont,F,d005,Development,48421,9999-01-01
53947,Shooichi,Henseler,M,d005,Development,50967,9999-01-01
53779,Kellie,Zielinski,M,d005,Development,54577,9999-01-01
53783,Renee,Schwaller,M,d008,Research,40000,9999-01-01
53827,Shan,Baek,M,d006,Quality Management,40000,9999-01-01
53974,Nahla,Reghbati,M,d004,Production,47882,9999-01-01
53977,Alper,Unno,F,d001,Marketing,52057,9999-01-01
54226,Chinya,Michaeli,M,d005,Development,65577,9999-01-01
54029,Mona,Smailagic,F,d009,Customer Service,40000,9999-01-01
54037,Hironobu,Grabner,F,d002,Finance,60867,9999-01-01
54042,Leandro,Fiutem,M,d004,Production,40000,9999-01-01
54254,Jianwen,Ramsey,M,d005,Development,40000,9999-01-01
54044,Yuuichi,Muhling,F,d007,Sales,60313,9999-01-01
54049,Christoper,Debuse,M,d004,Production,40000,9999-01-01
54055,Mitsuyuki,Famili,M,d007,Sales,58701,9999-01-01
54257,Satoru,Molenaar,F,d005,Development,40000,9999-01-01
54085,Dharmaraja,Marchesini,M,d002,Finance,40000,9999-01-01
54298,Taizo,Orsini,M,d004,Production,50797,9999-01-01
54089,Sandeepan,Barriga,F,d005,Development,40000,9999-01-01
54096,Georg,Reeken,F,d006,Quality Management,40000,9999-01-01
54105,Hidefumi,Peck,F,d007,Sales,83363,9999-01-01
54123,Kien,Bahk,F,d007,Sales,53118,9999-01-01
54305,Shaowen,Birke,M,d004,Production,46824,9999-01-01
54131,Rayond,Murrill,F,d009,Customer Service,40000,9999-01-01
54307,Yuqun,Bondorf,F,d005,Development,40969,9999-01-01
54139,Tomoyuki,Budinsky,F,d004,Production,40000,9999-01-01
54309,Mohamadou,Bressoud,M,d004,Production,67544,9999-01-01
54311,Inderjeet,Chappelet,F,d005,Development,51180,9999-01-01
54324,Tsutomu,Hutter,M,d009,Customer Service,40000,9999-01-01
54164,Sahrah,Penz,M,d007,Sales,92968,9999-01-01
54352,Hilary,Daescu,M,d004,Production,54271,9999-01-01
54201,Shigeu,Stranks,M,d004,Production,40000,9999-01-01
54206,Marsja,Auyong,F,d004,Production,47268,9999-01-01
54366,Mohamadou,Terekhov,F,d005,Development,57343,9999-01-01
54207,Radhika,Bhattacharjee,M,d005,Development,40000,9999-01-01
54371,Sivanarayana,Esposito,F,d005,Development,54998,9999-01-01
54375,Rafail,Hofstetter,F,d004,Production,44994,9999-01-01
54383,Sanjay,Makrucki,M,d005,Development,40000,9999-01-01
54407,Adhemar,Attimonelli,F,d001,Marketing,75611,9999-01-01
54389,Bingning,Linares,M,d004,Production,40000,9999-01-01
54416,Roddy,Sabnani,F,d002,Finance,90787,9999-01-01
54420,Youngkon,Rajcani,F,d007,Sales,66835,9999-01-01
54397,Fen,Langford,M,d009,Customer Service,40000,9999-01-01
54424,Wayne,Halevi,M,d004,Production,56685,9999-01-01
54429,Tsuneo,Kopetz,F,d006,Quality Management,43575,9999-01-01
54430,Kaijung,Pezzoli,M,d009,Customer Service,52520,9999-01-01
54595,Jixiang,Bultermann,M,d008,Research,52462,9999-01-01
54441,Miyeon,Uhrig,M,d001,Marketing,40000,9999-01-01
54442,Nadjib,Isaak,M,d006,Quality Management,40000,9999-01-01
54443,Gro,Grabner,M,d007,Sales,50068,9999-01-01
54450,Jaana,Ranon,F,d005,Development,40000,9999-01-01
54452,Jacqueline,Bratten,M,d009,Customer Service,40000,9999-01-01
54614,Nobuyoshi,Antonakopoulos,F,d004,Production,40097,9999-01-01
54465,Torsten,Bresenham,M,d007,Sales,90756,9999-01-01
54471,Kotesh,Schiettecatte,M,d008,Research,46801,9999-01-01
54473,Aiman,Benaini,M,d008,Research,40000,9999-01-01
54474,Ult,Schreiter,M,d005,Development,40839,9999-01-01
54480,Danel,Nilsson,M,d004,Production,40000,9999-01-01
54621,Sven,Murrill,F,d004,Production,44946,9999-01-01
54648,Denny,Setiz,M,d009,Customer Service,54937,9999-01-01
54517,Jongsuk,Liesche,M,d004,Production,40000,9999-01-01
54655,Lenore,Kossowski,F,d007,Sales,92838,9999-01-01
54527,Leszek,Lorch,M,d006,Quality Management,69337,9999-01-01
54528,Tomoyuki,Narwekar,M,d005,Development,40000,9999-01-01
54533,Goetz,Bach,F,d004,Production,67498,9999-01-01
54674,Fumino,Kaiserswerth,F,d002,Finance,76364,9999-01-01
54536,Ennio,Hanratty,F,d005,Development,53844,9999-01-01
54548,Gadiel,Crouzet,M,d004,Production,61135,9999-01-01
54550,Rajmohan,Marciano,M,d007,Sales,59391,9999-01-01
54556,Temple,Masada,M,d005,Development,40000,9999-01-01
54560,JiYoung,Peck,F,d004,Production,44296,9999-01-01
54563,Shunichi,Menyhert,M,d005,Development,40852,9999-01-01
54566,Debaprosad,Kropf,M,d004,Production,51617,9999-01-01
54574,Stabislas,Czaja,F,d003,Human Resources,49349,9999-01-01
54584,Fusako,Plotkin,F,d005,Development,52860,9999-01-01
54772,Khedija,Krohn,M,d004,Production,43934,9999-01-01
54773,Avishai,Cichocki,F,d004,Production,46926,9999-01-01
54775,Chinya,Emden,M,d008,Research,40000,9999-01-01
54777,Niteen,Oxenboll,F,d004,Production,58429,9999-01-01
54783,Abdelghani,Nannarelli,M,d005,Development,53971,9999-01-01
54677,Chirstian,Schaaf,F,d005,Development,43197,9999-01-01
54789,Munehiro,Boyle,F,d004,Production,40000,9999-01-01
54685,Marek,Georgatos,M,d005,Development,60559,9999-01-01
54703,Zhenhua,Swen,F,d008,Research,51433,9999-01-01
54809,Mitsuyuki,Iacovou,F,d004,Production,45624,9999-01-01
54815,Subhankar,Irland,F,d004,Production,40000,9999-01-01
54819,Branimir,Deverell,M,d002,Finance,55459,9999-01-01
54704,Kellyn,Rebaine,M,d005,Development,40000,9999-01-01
54830,Tadahiro,Trystram,M,d006,Quality Management,51781,9999-01-01
54746,Ramzi,Liesche,F,d007,Sales,80072,9999-01-01
54837,Jordanka,Melton,F,d002,Finance,74315,9999-01-01
54853,Van,Heemskerk,F,d005,Development,40000,9999-01-01
54855,Gian,Gulla,M,d005,Development,40000,9999-01-01
54858,Chinho,Sundgren,M,d005,Development,40000,9999-01-01
54868,Ult,Highland,M,d005,Development,40000,9999-01-01
54758,Kwun,Butner,M,d004,Production,40000,9999-01-01
54884,Lillian,Greenaway,M,d008,Research,40000,9999-01-01
54767,Richara,Peac,M,d004,Production,51061,9999-01-01
54888,Manohar,Danley,M,d004,Production,40000,9999-01-01
54892,Sandeepan,Goldhammer,M,d005,Development,40000,9999-01-01
54770,Charlene,Demizu,M,d005,Development,57923,9999-01-01
54961,Nechama,Spelt,F,d005,Development,40000,9999-01-01
54914,Gill,Bojadziev,M,d003,Human Resources,57341,9999-01-01
54918,Volkmar,Malinowski,F,d005,Development,40000,9999-01-01
54923,Masoud,Perz,M,d006,Quality Management,40000,9999-01-01
54924,Mayumi,Krupka,M,d009,Customer Service,40000,9999-01-01
54928,Kristine,Monarch,M,d008,Research,40000,9999-01-01
54929,Gilbert,Tramer,F,d007,Sales,76711,9999-01-01
54963,Toshiko,Bellmore,F,d008,Research,49338,9999-01-01
54932,Kamakshi,Munoz,F,d007,Sales,61454,9999-01-01
54933,Ashish,Dayana,M,d001,Marketing,49580,9999-01-01
54966,Jouni,Hempstead,M,d004,Production,51900,9999-01-01
54942,Akeel,Kusakari,M,d009,Customer Service,40000,9999-01-01
54968,Rafael,Bondorf,M,d004,Production,57681,9999-01-01
54950,Yuriy,Anick,M,d005,Development,51468,9999-01-01
54972,Leon,Underwood,F,d005,Development,40000,9999-01-01
54981,Giao,Pettis,M,d005,Development,40000,9999-01-01
54984,Danil,Perng,M,d005,Development,40000,9999-01-01
54994,Chaosheng,Birta,M,d002,Finance,60932,9999-01-01
55003,Jaber,Lanteri,M,d003,Human Resources,40000,9999-01-01
55024,Jaber,Srimani,M,d004,Production,53184,9999-01-01
55154,Brigham,Schiettecatte,F,d008,Research,40000,9999-01-01
55048,Pasqua,Percebois,M,d001,Marketing,61688,9999-01-01
55180,Ung,Falco,F,d008,Research,40000,9999-01-01
55059,Sakthirel,Conte,M,d005,Development,55639,9999-01-01
55192,Weijing,Templeman,F,d005,Development,40000,9999-01-01
55199,Marco,Gadepally,M,d006,Quality Management,70344,9999-01-01
55068,Kyoichi,Wielonsky,F,d005,Development,63460,9999-01-01
55210,Wonhee,Thombley,M,d005,Development,66646,9999-01-01
55069,Ewing,Schreiter,M,d008,Research,53813,9999-01-01
55217,Poorav,Pews,F,d008,Research,66507,9999-01-01
55073,Yahiko,Swiler,F,d005,Development,50072,9999-01-01
55230,Howell,Gonthier,M,d004,Production,40000,9999-01-01
55240,Weiru,Zwicker,F,d006,Quality Management,40000,9999-01-01
55242,Vitaly,Henseler,F,d009,Customer Service,40000,9999-01-01
55074,Arnould,Waeselynck,M,d006,Quality Management,40000,9999-01-01
55081,Sadok,Sanella,F,d005,Development,65236,9999-01-01
55265,Luisa,Waleschkowski,M,d004,Production,59415,9999-01-01
55272,Mohua,Isaac,F,d004,Production,56864,9999-01-01
55094,Nadjib,Gulik,F,d004,Production,60952,9999-01-01
55273,Chiranjit,Zockler,M,d001,Marketing,75143,9999-01-01
55276,Masali,Cools,M,d006,Quality Management,63635,9999-01-01
55281,Mohammad,Ellozy,F,d005,Development,40000,9999-01-01
55285,Bikash,Siegrist,F,d004,Production,58519,9999-01-01
55123,Randy,Thummel,M,d003,Human Resources,40000,9999-01-01
55289,Leah,Erdmenger,M,d008,Research,47206,9999-01-01
55306,Kotesh,Vuskovic,F,d001,Marketing,56857,9999-01-01
55129,Monique,Morris,M,d003,Human Resources,40000,9999-01-01
55320,Wayne,Waschkowski,M,d004,Production,52717,9999-01-01
55323,Hausi,Staelin,M,d001,Marketing,62222,9999-01-01
55139,Nigel,Sommer,M,d005,Development,61279,9999-01-01
55511,Bernt,Marshall,M,d007,Sales,45647,9999-01-01
55328,Temple,Boudaillier,F,d008,Research,51399,9999-01-01
55528,Indrajit,Swiler,F,d007,Sales,51336,9999-01-01
55345,Wojceich,Vendrig,M,d003,Human Resources,40000,9999-01-01
55346,Hausi,Schrooten,M,d004,Production,43885,9999-01-01
55353,Takahito,Viele,F,d008,Research,83423,9999-01-01
55542,Candido,Gaughan,F,d005,Development,40000,9999-01-01
55363,Venkatesan,Comellas,F,d002,Finance,42374,9999-01-01
55552,Ohad,Schicker,M,d004,Production,40000,9999-01-01
55371,Weiru,Perry,M,d006,Quality Management,48412,9999-01-01
55375,Houman,Caine,F,d007,Sales,66472,9999-01-01
55382,Ziya,Shihab,F,d004,Production,40000,9999-01-01
55571,Arie,Pusterhofer,F,d007,Sales,59224,9999-01-01
55404,Mara,Spell,F,d008,Research,58720,9999-01-01
55590,Anoosh,Shumilov,M,d004,Production,52740,9999-01-01
55407,Gopalakrishnan,Birta,M,d005,Development,40000,9999-01-01
55408,Remzi,Reistad,M,d005,Development,40000,9999-01-01
55409,Sverrir,Borstler,M,d003,Human Resources,40000,9999-01-01
55414,Divine,Talmon,F,d005,Development,40000,9999-01-01
55417,Subbu,Eiron,F,d003,Human Resources,58197,9999-01-01
55592,Alexius,Karcich,M,d007,Sales,68955,9999-01-01
55422,Mahendra,Kranzdorf,F,d005,Development,40000,9999-01-01
55429,Miyeon,Bamford,F,d004,Production,52906,9999-01-01
55440,Ramzi,Shinomoto,M,d004,Production,43426,9999-01-01
55444,Martins,Gyorkos,M,d003,Human Resources,40000,9999-01-01
55450,Vishv,Furudate,M,d005,Development,40000,9999-01-01
55466,Danae,Mitsuhashi,F,d006,Quality Management,40000,9999-01-01
55472,Gudjon,Birta,F,d008,Research,41080,9999-01-01
55610,Moty,Feldhoffer,M,d002,Finance,74379,9999-01-01
55476,Kokou,Halevi,F,d005,Development,40000,9999-01-01
55479,Serap,Erva,M,d004,Production,78858,9999-01-01
55498,Filipe,Heusch,M,d005,Development,40000,9999-01-01
55499,Kamakshi,Diderrich,F,d008,Research,48147,9999-01-01
55622,Peer,Ranta,F,d004,Production,52431,9999-01-01
55504,Jouni,Radwan,F,d004,Production,46549,9999-01-01
55505,Kristen,Fabrizio,M,d005,Development,55660,9999-01-01
55506,Zhensheng,Kusakabe,M,d004,Production,40000,9999-01-01
55632,Byong,Ravishankar,F,d004,Production,40000,9999-01-01
55637,Szabolcs,Erde,M,d004,Production,40000,9999-01-01
55702,Gianluca,Kopetz,F,d003,Human Resources,40000,9999-01-01
55639,Gaetan,Bridgland,F,d004,Production,40000,9999-01-01
55707,Vugranam,Stiles,M,d004,Production,53272,9999-01-01
55655,Pranav,Tzvieli,M,d005,Development,72953,9999-01-01
55665,Mantis,Maginnis,F,d004,Production,40857,9999-01-01
55669,Shounak,Saoudi,F,d004,Production,46585,9999-01-01
55711,Uzi,Mamelak,M,d004,Production,61290,9999-01-01
55894,Atreye,Schaft,F,d006,Quality Management,59833,9999-01-01
55713,Arie,Serdy,M,d004,Production,49481,9999-01-01
55715,Heon,Silva,F,d004,Production,46982,9999-01-01
55718,Jeane,McAffer,M,d007,Sales,56448,9999-01-01
55726,Vitali,Krohm,M,d001,Marketing,46394,9999-01-01
55727,Dmitri,Hiyoshi,M,d001,Marketing,49572,9999-01-01
55728,Zito,Remmers,M,d003,Human Resources,40000,9999-01-01
55729,Carrsten,Vesna,F,d004,Production,61657,9999-01-01
55897,Jiafu,Karnin,F,d004,Production,47585,9999-01-01
55756,Alair,Warwick,M,d009,Customer Service,78624,9999-01-01
55907,Ghassan,Herbst,M,d007,Sales,46416,9999-01-01
55765,Kotesh,Noriega,M,d004,Production,40000,9999-01-01
55768,Shahid,Chandrasekhar,F,d001,Marketing,80701,9999-01-01
55914,Lobel,Thibadeau,F,d004,Production,44031,9999-01-01
55774,Pramod,Pettey,F,d002,Finance,52869,9999-01-01
55777,Prodip,Chorvat,F,d006,Quality Management,46011,9999-01-01
55919,Chiranjit,Nergos,F,d006,Quality Management,40000,9999-01-01
55784,Lijia,Luby,M,d001,Marketing,40000,9999-01-01
55929,Moni,Marakhovsky,M,d001,Marketing,68033,9999-01-01
55798,Pasqua,Knightly,F,d001,Marketing,63896,9999-01-01
55933,Kristin,Kirkerud,M,d007,Sales,69722,9999-01-01
55935,Theirry,Skafidas,M,d005,Development,40000,9999-01-01
55946,Shan,Wossner,M,d008,Research,41947,9999-01-01
55843,Hailing,Leivant,M,d004,Production,77189,9999-01-01
55848,Anneli,Ozeri,F,d001,Marketing,46950,9999-01-01
55979,Guangming,VanScheik,M,d005,Development,48757,9999-01-01
55851,Guadalupe,Velardi,M,d004,Production,40000,9999-01-01
55861,Alois,Delgrande,M,d004,Production,40000,9999-01-01
55982,Marco,Conde,F,d004,Production,40000,9999-01-01
56010,Noritoshi,Nyanchama,M,d004,Production,40000,9999-01-01
56020,Alagu,Byoun,M,d005,Development,57056,9999-01-01
